Smiles,docking score,gcnscore,SVMscore,XGBscore,gatscore,LGBMscore,RFscore,DNNscore,Ridgescore,mean,std
Br/C=C/Br,-2.009,-1.5899063348770142,-1.7875567468699156,-2.0730414,-2.011523962020874,-2.010354776744446,-3.791100840883862,-2.221233606338501,-2.4409196152319934,-2.2407046603708256,0.6768383209432991
BrC(Br)Br,-2.031,-2.998208522796631,-2.439186941624266,-2.4179823,-1.814085960388184,-2.871063759673112,-3.791100840883862,-3.171850681304932,-3.0067634596179764,-2.81378030828612,0.5921236013836351
BrC(Br)C(Br)(Br)Br,-1.907,-3.3661856651306152,-2.7980837317534744,-2.5745347,-2.275779962539673,-3.042929761343677,-3.791100840883862,-3.417076110839844,-3.159819453693305,-3.0531887782730562,0.49061526688256213
BrC(Br)C(Br)Br,-2.064,-2.8705081939697266,-2.6179578547440463,-2.4179823,-2.168332099914551,-2.766115223343883,-3.791100840883862,-3.341092348098755,-2.9314137991769496,-2.863062832516472,0.5133526789773821
BrC/C=C\CBr,-2.211,-2.3946356773376465,-2.01841004748967,-2.3787072,-2.364608764648437,-2.117614292975853,-3.791100840883862,-2.104090452194214,-2.593230538036944,-2.470299726695828,0.5666458854459702
BrCBr,-1.557,-2.4342517852783203,-2.2419842911017414,-2.5008557,-1.6781632900238037,-2.228416531692793,-3.791100840883862,-2.3536782264709477,-2.849426965750488,-2.5097347039002447,0.6129275598744125
BrCC(Br)(Br)Br,-2.173,-2.82381010055542,-2.6758294265934106,-2.729975,-2.227905750274658,-2.5052310696925884,-3.791100840883862,-2.864345073699951,-3.0461329968666324,-2.8330412823208153,0.45877758576685174
BrCC(Br)C1CCC(Br)C(Br)C1,-3.187,-4.1365966796875,-3.669633972410223,-3.8063397,-3.547642707824707,-3.4075523833472565,-3.791100840883862,-3.620836734771729,-3.422216649153928,-3.6752399585099003,0.23857030699223022
BrCC(Br)CBr,-2.649,-3.2364697456359863,-2.9844132485106827,-3.2446322,-2.566310405731201,-2.873374739575289,-3.791100840883862,-3.71498966217041,-3.2180373886125926,-3.203666028890003,0.4093337218935809
BrCC(Br)c1ccccc1,-3.441,-3.4037561416625977,-3.931666769311348,-4.026236,-3.5747790336608887,-3.65224267777717,-3.816458142220932,-4.511056423187256,-3.8714000018986585,-3.8484493987148563,0.3360008683751281
BrCC1CO1,-2.024,-2.770476818084717,-3.0825181977631493,-3.146305,-2.2713046073913574,-2.619497156512212,-3.791100840883862,-3.419461727142334,-3.259816900350898,-3.045060156016066,0.4795421696853519
BrCCBr,-1.974,-2.6832847595214844,-2.24446904206153,-2.618568,-2.2460031509399414,-2.228416531692793,-3.791100840883862,-2.4523653984069824,-2.836726766775802,-2.6376168112852993,0.5185567859561997
BrCCC(Br)Br,-2.289,-3.0806055068969727,-2.996777930618514,-3.293686,-2.871328830718994,-2.870705729490598,-3.791100840883862,-3.5887765884399414,-3.085656309459991,-3.1973297170636092,0.3368670045456938
BrCCCBr,-2.536,-3.2445297241210938,-2.3570795490047427,-2.6416898,-2.693072557449341,-2.3767306069405967,-3.791100840883862,-3.0164761543273926,-2.93085052976392,-2.8814412203113684,0.47848586520972486
BrCCCCBr,-2.616,-3.087566375732422,-2.460684301496177,-2.6416898,-2.7679314613342285,-2.417936647651414,-3.791100840883862,-2.948345184326172,-2.9504064407046817,-2.88320763151612,0.4377562380865458
BrCCCCCBr,-2.665,-3.1461338996887207,-2.37294122496078,-2.6416898,-2.7967984676361084,-2.417936647651414,-3.791100840883862,-3.2071309089660645,-2.8944133094471702,-2.908518137404265,0.4684279920214219
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,-3.324,-3.699336051940918,-3.669633972410223,-3.8063397,-3.539421319961548,-3.4075523833472565,-3.791100840883862,-3.620836734771729,-3.422216649153928,-3.6195547065586826,0.15283043970698063
BrC[C@H]1CO1,-2.446,-2.496002674102783,-3.0825181977631493,-3.146305,-2.334335327148437,-2.619497156512212,-3.791100840883862,-3.419461727142334,-3.259816900350898,-3.0186297279879595,0.4980872771565502
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,-2.942,-3.806792736053467,-3.4285895945001315,-3.6606464,-3.794027328491211,-3.5751225234397834,-3.791100840883862,-3.4955525398254395,-3.807345553157697,-3.669897189543949,0.1537271639538577
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,-3.209,-3.79631233215332,-3.595920392617296,-3.6376781,-3.810190439224243,-3.6492654176074937,-3.791100840883862,-4.092626571655273,-3.6121929466351848,-3.7481608800970836,0.1648886566273734
BrCc1c2ccccc2cc2c1ccc1ccccc12,-3.187,-3.581878662109375,-3.2893615257649795,-3.5258567,-3.635690212249756,-3.462677597661416,-3.791100840883862,-3.6455349922180176,-3.557201659621188,-3.561162773813574,0.14678026856034065
BrCc1c2ccccc2cc2ccc3ccccc3c12,-3.271,-3.643499374389648,-3.587727636890075,-3.6747286,-3.79813289642334,-3.515392091423063,-3.791100840883862,-4.030588150024414,-3.648331423322108,-3.7111876266695636,0.16009034020043755
BrCc1c2ccccc2cc2ccccc12,-3.697,-3.4462146759033203,-3.7187066820548726,-3.7032828,-3.6566357612609854,-3.7698480253164495,-3.791100840883862,-3.864083051681519,-3.7973588794125073,-3.718403839564189,0.12734579653835174
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,-4.264,-3.7166361808776855,-3.450910742210571,-3.635398,-3.8724215030670166,-3.6585189952954713,-3.791100840883862,-4.099848747253418,-3.7331080761615008,-3.7447428857186904,0.1894369890540213
BrCc1ccc(Br)cc1,-3.221,-2.6996607780456543,-3.576110606587122,-3.7087646,-3.383263111114502,-3.572121620571461,-3.791100840883862,-3.873144626617432,-3.565695255075933,-3.5212326798619955,0.36516791580831026
BrCc1ccc(CBr)cc1,-3.66,-2.7572555541992188,-3.5481724158472407,-3.7087646,-3.297196865081787,-3.572121620571461,-3.791100840883862,-3.9721620082855225,-3.6218352470128177,-3.5335761439852384,0.36982714510642506
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,-3.297,-3.686025619506836,-3.377987931242449,-3.6364374,-3.84624457359314,-3.6585189952954713,-3.68585552390296,-3.7265686988830566,-3.878997012073396,-3.687079469312163,0.15243067759324058
