Smiles,gcnscore
C[C@@H](O)COC[C@@H](C)O,-3.4725167751312256
COc1c2ccoc2nc2c(O)cccc12,-4.340400695800781
CC(=O)OCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1,-3.1024529933929443
Cc1cccc(C)c1N,-3.386148691177368
COc1ccc(C2OC2C)cc1,-2.3333723545074463
Nc1cc(Cl)cc(C(=O)O)c1Cl,-3.1617074012756348
Cc1cn2c(N=O)c(-c3ccc([N+](=O)[O-])cc3)nc2s1,-2.6985175609588623
CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,-4.202760696411133
Cc1cc(N(CCO)CCO)ccc1N=Nc1ccc(N)cc1,-4.468710899353027
C=C(Br)CCl,-2.057183027267456
CCCCC(CC)CO,-3.0724828243255615
C=Cc1ccccn1,-3.22087025642395
C=CC(=O)OCC(C)(C)COC(=O)C=C,-2.529010772705078
Clc1ccccc1,-2.9680514335632324
C=CC(=O)NCNC(=O)C=C,-1.3984051942825317
NN(c1ccccc1)c1ccccc1,-3.6342921257019043
Nc1snc2ccc(Cl)cc12,-3.824971914291382
c1ccc(Cn2ccnc2)cc1,-3.6479294300079346
Nc1ncnc2c1ncn2Cc1ccc([N+](=O)[O-])cc1,-4.167095184326172
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,-3.8004653453826904
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,-2.6334149837493896
CCOC(=O)[C@@H]1O[C@]1(C)c1ccccc1,-3.941636562347412
BrCC(Br)c1ccccc1,-3.238168478012085
O=[N+]([O-])c1ccc2cccc3c2c1C=C3,-3.4785892963409424
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,-3.0515923500061035
OC1c2ccccc2Oc2ccccc21,-4.654104232788086
CC1=NC(N)=C[C@@H]2c3ccccc3N[C@H]12,-4.187154769897461
Nc1ccc(S(=O)(=O)O)cc1,-2.817124605178833
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,-4.065334320068359
CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C2c1ccccc1C(=O)O,-3.1050169467926025
O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,-2.861105442047119
