Smiles,gatscore
CCCCCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1,-2.994189739227295
COc1c(C=O)c(O)cc2c1C(=O)c1ccccc1C2=O,-3.9080569744110107
NC(=O)c1cnccn1,-4.145180702209473
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,-2.8488881587982178
Nc1nc(O)nc2c1ncn2C1CC(O)C(CO)O1,-5.923638820648193
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-5.538959503173828
c1ccc(Nc2cccc3ccccc23)cc1,-3.4835753440856934
O=C(O)CCCCCCCBr,-2.171013355255127
CCCCCCCCCCCCOS(=O)(=O)O,-2.680612564086914
O=[N+]([O-])c1ccc2ccc3cccc4c3c2c1C1OC41,-3.314687728881836
CCc1cccc2cccnc12,-2.8206748962402344
Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,-3.143441677093506
C[C@@H](O)c1ccc2ccc3cccc4ccc1c2c34,-3.556488513946533
c1ccc2c(c1)-c1ccc3ccccc3c1C1OC21,-3.712977886199951
O=C(/C=C/c1ccc(O)cc1)c1ccccc1,-3.9775736331939697
CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@H]21,-2.464859962463379
OC1C=Cc2cc3c(cc2C1O)-c1cccc2cccc-3c12,-4.893959999084473
CC(=O)c1cc(NC(=O)Nc2ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c2)ccc1OCC(O)CNC(C)(C)C,-5.531991958618164
COc1ccc(C(=O)c2ccccc2)c(O)c1,-3.997840404510498
O=C1C(=O)c2cccc3cccc1c23,-3.431464433670044
NC(CCC(=O)NC(CS/C(Cl)=C/Cl)C(=O)NCC(=O)O)C(=O)O,-5.243624210357666
COc1ccc2cc3c4c(cc(OC)c(OC)c4c2c1)CCN3C,-3.225283622741699
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-2.4337706565856934
C=CCN1CCC=C2c3nc(NC(C)=O)sc3CCC21,-5.308388710021973
Nc1cnc2ccccc2c1,-3.5856237411499023
CN(N=O)C(=O)c1ccccc1,-3.0013980865478516
CCOC(=O)C(C#N)c1snc2ccc([N+](=O)[O-])cc12,-4.036160469055176
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C,-3.0439248085021973
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,-3.446361541748047
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,-3.1609511375427246
C[C@@H](O)CN,-2.660881757736206
c1ccc2c(c1)-c1cc3ccccc3c3cc4c(c-2c13)CCCC4,-2.90065336227417
CC(=O)/C(C)=N\O,-2.722899913787842
c1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12,-3.2989723682403564
CCCCON=O,-1.5459703207015991
C=CC(=O)N(C[C@H]1CO1)C[C@H]1CO1,-3.1473441123962402
O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,-3.2716846466064453
CN(C)CCNC(=O)c1cccn2cc(-c3ccccc3)nc12,-3.978862762451172
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,-3.281461238861084
O=[N+]([O-])c1cc([N+](=O)[O-])c2c3c(c4cccc5ccc1c2c54)CCCC3,-3.4736685752868652
