Smiles,docking score
COc1cc([C@H]2OC[C@](O)(Cc3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(OC)c3)[C@@H]2COC[C@H]2O[C@@](CO)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)ccc1O,-11.174
N=C(N)c1cccc(Oc2c[n+]([O-])cc(Oc3cccc(C(=N)N)n3)n2)c1,-10.297
NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,-9.944
CCC[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCCN)NC1=O,-9.72
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NO[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-9.659
NC(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-9.585
CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,-9.487
COc1ccccc1OCCNC[C@@H](O)COc1ccc(O)c(O)c1,-9.485
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,-9.477
Cc1cc(O)cc(C)c1C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCCNC(N)=O)NC1=O,-9.407
NS(=O)(=O)c1ccc(CNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,-9.366
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(C(N)=O)cc2s1,-9.315
N=C(N)NCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(OCc2cn([C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)nn2)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,-9.303
C[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCCC(=O)N[C@@H](Cc1ccccc1)C(N)=O,-9.26
CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(N)cc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,-9.242
COc1cc(CCNC[C@@H](O)c2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,-9.209
N=C(N)c1ccc(O)c(Oc2cc(C(=O)O)cc(Oc3cccc(NCCN)c3)n2)c1,-9.09
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cn([C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)nn1)C(N)=O,-9.066
N=C(N)NCCC[C@H](NC(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,-9.066
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-9.024
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(N)=O,-8.962
Nc1nc(N/N=C/[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-8.933
N=C(N)c1ccc(O)c(/C=C/CNc2ccc(OC3CCN(C(N)=O)CC3)c(C(F)(F)F)c2)c1,-8.93
Cc1csc2ncnc(N3CCC(NCC(O)COc4ccc(O)c(CO)c4)CC3)c12,-8.9
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.887
N=C(N)NCCC[C@H](N)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,-8.868
COc1cc(CCNC[C@@H](O)COc2cccc3ccccc23)ccc1OCCCSSCCN,-8.867
C[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(N)=O,-8.853
Oc1cccc(O)c1OCCNCCOc1ccccc1OCc1ccccc1,-8.846
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)nn1)C(N)=O,-8.772
Cc1cc(O)cc(C)c1C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCCNC(=N)N)NC1=O,-8.741
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1C[C@H](N)CN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.694
CN1CCc2cc(SCCN)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,-8.686
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.661
NCCC(=O)N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)N1CCN(c2ncccc2CNC(=O)c2cccs2)CC1,-8.661
CC(C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,-8.657
NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,-8.651
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](COCc1cn([C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)nn1)C(N)=O,-8.648
CN1CCN(c2nc(NCc3nccs3)c3cc(Cl)ccc3n2)CC1,-8.61
Cn1cc(C(F)(F)F)nc1-c1ccc(OC[C@@H](O)CNCCOc2ccc(OCCSSCCN)c(C(N)=O)c2)cc1,-8.578
COc1ccc(Cn2c([C@@H](Cc3c[nH]c4ccccc34)NC(C)=O)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](N)CCCCN)cc1,-8.551
CCCCC1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](Cc2c(C)cc(O)cc2C)NC1=O,-8.547
NC(=O)[C@@H]1CSC([C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)Cc2ccc(O)cc2)N1,-8.533
N=C(N)NCCC[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](NC=O)CNC(=O)/C=C\[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)C1=O,-8.532
NNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.528
COc1ccccc1N1CCN(Cc2cn(-c3ccc(OCCCOC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4F)cc3)nn2)CC1,-8.485
COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,-8.48
Cc1cc(O)cc(C)c1C[C@@H]1NC(=O)C(CCCN)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCCNC(=N)N)NC1=O,-8.457
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(N)=O)C1=O,-8.455
NS(=O)(=O)c1ccc(C(=O)NNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,-8.449
NC(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.449
N=C(N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc2ccccc2)NS(=O)(=O)Cc2cccc(C(=O)O)c2)cc1,-8.439
OCc1cc(OCC(O)CNC2CCN(c3ncnc4ccsc34)CC2)ccc1O,-8.438
COc1ccc(C[C@H](NC(=N)N)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cc1,-8.431
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.427
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)NCc1cc(Cc2ccccc2)ccc1O,-8.422
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,-8.404
O=C(NCc1ccccc1F)N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)N1CCN(c2ccccc2CNCCc2cccs2)CC1,-8.401
Cc1nc(Nc2cc(C(F)(F)F)ccn2)cc(C2CCCNC2)n1,-8.399
