Smiles,gatscore
NC(=O)CSc1ccccc1C(=O)NC1CCN(c2ccccc2)CC1,-7.877854347229004
CC1CN(C(C)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)c2cccs2)CC(C)O1,-7.6999006271362305
Cc1ccc(N(CC(O)C(O)C(O)CO)/N=N/c2ccc(Br)cc2)cc1C,-6.352488994598389
CC(C)CCNC(=O)C(c1ccc(N(C)C)cc1)N(C(=O)c1snc(C(N)=O)c1N)c1cccc(F)c1,-7.660313606262207
O=C(NC(c1ccccc1)c1cccc(OCc2ccc(C(=O)OCCCC[NH2+]CC(O)c3ccc(O)c4[nH]c(=O)ccc34)o2)c1)OC1C[NH+]2CCC1CC2,-10.682133674621582
Cc1ccc(CNC(=O)Cn2c(CO)c[nH+]c2SCC(=O)Nc2cc(C)ccc2C)cc1,-8.136970520019531
COc1ccc(Br)c(CC([NH2+]N)c2cc(C)ccc2Br)c1,-7.262326717376709
OCC1CCCC1C[NH2+]Cc1ccc(Cl)o1,-7.5467329025268555
Cc1cc(C)c(NC(=S)NCCN2CCN(C(=S)Nc3c(C)cc(C)cc3C)CC2)c(C)c1,-7.393661975860596
CC/[NH+]=C(/NCc1cccc(-c2ncn[nH]2)c1)NC(C)c1ccccc1C,-7.151619911193848
Cc1cc(Br)cc(C)c1NC(=O)NCCCCN1CC[NH+](CCO)CC1,-6.917919158935547
CCCCCCCCCCCCCCCC(=O)NC(NC(=S)Nn1cnnc1)C(Cl)(Cl)Cl,-5.336423397064209
CCNC(=O)c1ccc(NCC(=O)c2[nH]c(C)c(C(=O)OCC)c2C)c(C)c1,-7.300693035125732
Cn1ccnc1SCC(=O)Nc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1,-7.928274631500244
C=CCSc1nnc([N-]C(=O)CSC2N=[NH+]C(N/N=C/c3ccc(O)cc3)=N2)s1,-7.551454067230225
Cc1cc(N(CCO)CCO)ccc1C(c1ccccc1)c1ccc([NH+](CCO)CCO)cc1C,-8.085220336914062
CCCCC(CC)C(=O)N(CCC)C(C(=O)NC1CCCCC1)c1ccc(C(F)(F)F)cc1,-6.225240707397461
O=C(NCCCn1cc[nH+]c1)/C(=C\c1cccc(Oc2ccccc2)c1)NC(=O)c1ccc(Cl)cc1,-8.48300552368164
CCCn1cc[nH+]c1CC(NN)c1ccc(I)cc1,-6.270171642303467
C=CCOC(=O)c1c(N)oc2c(-c3ccccc3)c3c(C(=O)OCC=C)c(N)oc3cc12,-9.139204025268555
CC(C)(C)c1ccc(C(=O)Oc2ccc(/C=N/N=C3\NC(=O)CS3)cc2)cc1,-7.923000812530518
CC(C)C(NC(=O)c1ccccc1Cl)C(=O)NC(c1nc2ccccc2[nH]1)C(C)C,-7.174680233001709
CC(C)n1c[nH+]cc1C1C([NH3+])CCCCN1C(C)(C)C,-5.507012844085693
COc1ccc(C(=O)NC(=S)Nc2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2)c(OC)c1,-8.252108573913574
CCCOc1ccc(N2C(=O)CC([NH2+]CCCCCC[NH2+]C3CC(=O)N(c4ccc(OCCC)cc4)C3=O)C2=O)cc1,-8.448287010192871
CCCCN(C(=O)CCC1CCCC1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O,-6.079334259033203
CCn1nc(C)c(Cl)c1CC([NH3+])CC(C)(C)C,-5.083369255065918
NNC(c1ccc(OC(F)F)cc1)c1cc(Br)ccc1F,-7.348691940307617
C=CCc1cccc(/C=N/NC(=O)CCCSc2nnc(-c3ccncc3)n2N)c1O,-7.793225288391113
NC(=O)N/N=C(/CCCC/C(=N\NC(N)=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,-7.96671724319458
Nn1c(N/N=C/c2c[nH]c3ccccc23)nnc1SCC(=O)Nc1ccc(Cl)cc1Cl,-7.363307476043701
NC(=O)c1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)NCC(F)(F)F,-6.622898578643799
CC1=CC(CNS(C)(=O)=O)C(C(C)C)CC1Cc1nc2ccc(Cl)cc2[nH]1,-6.734321117401123
CCOc1cc(C2NC(=S)NC(C)=C2C(=O)NCc2ccccc2)ccc1Oc1cnn(-c2ccccc2)c(=O)c1Cl,-8.147306442260742
CCCCCOc1cccc(C2c3c(-c4cc(Cl)ccc4O)n[nH]c3C(=O)N2CCCO)c1,-7.411189079284668
CC(C)CC([NH3+])CNS(=O)(=O)c1cc(Br)sc1Br,-5.412496566772461
CCOC(=O)c1c(-c2ccc(C)o2)csc1NC(=O)COC(=O)c1ccc(NC(N)=O)cc1,-8.336784362792969
