Smiles,gcnscore
CCC(CC)C(=O)Nc1nnc(SCc2cc(=O)c(OC(=O)c3ccc(S(=O)(=O)N(CC)CC)cc3)co2)s1,-7.955689907073975
CCN(CC)S(=O)(=O)c1ccc(Nc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2N)cc1,-7.787606239318848
O=[N+]([O-])C/C(=N\c1cccc(Oc2ccccc2)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1,-10.091954231262207
CCC([NH3+])C(Oc1cncc(Cl)c1)C(C)(C)C,-5.934025287628174
CC(C)(C)C(=O)Nc1ccc(C(=O)NCCNC(=O)C2CCN(c3cc(-c4ccccc4)ncn3)CC2)cc1,-8.51872444152832
N#Cc1c(N)sc2c1CCN(C(=O)C1CC=CCC1)C2,-6.802427768707275
CSCCC(NS(=O)(=O)c1cc(C)ccc1C)C(=O)NCc1ccc(-c2ccc(F)cc2)o1,-8.996779441833496
CC(C)CN(CC(C)C)C(=O)C1CC(C)CCC1[NH3+],-4.162694454193115
Cc1cc(C)c(CC([NH2+]N)c2ccc(F)cc2Cl)c(C)c1,-7.106525897979736
Cc1ccc(-c2cnc(SCC(=O)Nc3ccccc3)n2-c2cccc(C(F)(F)F)c2)cc1,-9.001938819885254
CCOc1cc(OCc2ccc(Cl)cc2Cl)ccc1/C=N/NC(=O)c1c(C[NH+]2CCCC2)nnn1-c1nonc1N,-10.423626899719238
CC1(C)C([NH3+])CC1Oc1c(Br)cc(F)cc1[N+](=O)[O-],-6.362368106842041
C[NH+](C)CCCn1c2c(c(SCC(=O)Nc3ccc(C(N)=O)cc3)nc1=O)CCCC2,-7.682638168334961
COC(=O)c1c(CC=C(C)C)c(O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c2ccccc2c1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,-6.156029224395752
CC1CC(C)CN(S(=O)(=O)NCC([NH3+])C(C)C)C1,-4.982585906982422
C=CCNC(=O)OC1CCC2(C)C(CC(=O)NCc3cc(F)cc(F)c3)C(O)CCC2C1(C)CO,-7.522308349609375
CCOc1ccc(C2=C(C)N=NC2/N=C(/Nc2ccc(C(C)C)cc2)SC)cc1OCC,-7.917139530181885
CCN(CC)c1ccc(/C=C(\C#N)C(=O)OCCC[N+](C)(C)CCOC(=O)/C(C#N)=C/c2ccc(N(CC)CC)cc2)cc1,-5.297360420227051
CC/[NH+]=C(/NCC(=O)Nc1ccccc1CC)NCc1ccco1,-8.512767791748047
CC(C)C(NC(=O)c1ccccc1Cl)C(=O)OCc1nc(N)c2c3c(sc2n1)CCCC3,-8.556279182434082
COC(=O)C1C(NC(C)=O)c2cc(NC(C)C(C)(C)O)c[nH+]c2N1CCc1c[nH]c2ccccc12,-7.039820194244385
Clc1ccc2nc(C3Cc4[nH]c[nH+]c4CN3)sc2c1,-7.657103061676025
O=C(NC1CCCCC1)c1cccc(NC(=S)[N-]C(=O)c2ccccc2OCCOc2ccccc2)c1,-8.048962593078613
CC(Sc1nc(-c2ccccc2)cc(C(F)(F)F)n1)C(=O)Nc1sc2c(c1C(N)=O)CCC2,-9.223723411560059
CC(C)C(NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)NCC(c1cccs1)N1CCOCC1,-6.514678478240967
FC(F)(F)c1cccc(NC(=S)Nc2ccc(NC(=S)Nc3cccc(C(F)(F)F)c3)cc2)c1,-8.438920021057129
Cc1ccccc1C(CC(=O)NC(C)C[NH+]1CCCCC1)NC(N)=O,-8.052550315856934
CCN(CC)C(=O)COc1ccc(C2C(C#N)=C(N)Oc3n[nH]c(C(F)(F)F)c32)cc1OC,-7.225744724273682
CC(CCc1ccc(O)cc1)[NH2+]CC(O)COc1ccc(O)cc1,-7.734250545501709
CCCNc1nnc(SCC(=O)NCC(=O)Nc2ccccc2Br)s1,-8.398258209228516
CCC[NH+]1CCC(C[NH2+]Cc2cc(Cl)c(OCC(N)=O)c(OC)c2)C1,-8.269220352172852
COc1cc(/C=N/NC(=O)c2ccc(C)cc2OC)ccc1OCc1ccc(F)cc1,-8.739815711975098
CCCCC/C=C\C(=O)N(CCCCCC)C(C(=O)NC(C)(C)C)c1ccc(C)cc1C,-5.765635967254639
CCOC(=O)c1c(NC(=O)C(C)Sc2nc(C)c(CC(N)=O)s2)sc2c1CCC(C)C2,-6.345483779907227
NC(=O)NC(CC(=O)NCc1ccccc1Cn1cccn1)c1cccc(Br)c1,-9.09033489227295
CCOCc1c(C(=O)Nc2nc(-c3ccc(OC)cc3)c(C)s2)oc2ccccc12,-7.759952068328857
COCCNC(=O)C(c1ccc(F)cc1)N(C(=O)c1snc(C(N)=O)c1N)C1CCCC1,-7.6766886711120605
CCn1nc(C)c(Br)c1CC(NN)c1ccc(SC)cc1,-6.330097198486328
COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)C4CCCC4)c3)C2=O)cc1,-8.6614408493042
CC[NH+](CC)CCCNC(=O)C1(O)c2cc(Br)ccc2NC(=O)N1c1ccc(Cl)cc1,-8.095824241638184
C/C(=N\Nc1nc(SCC(=O)Nc2nnc(SCC(N)=O)s2)n[nH]1)c1ccc(C)cc1,-9.443648338317871
C=CCC(O)(CC=C)C(C)NC(=O)CCC1(Cc2cc(OC)ccc2F)CCC(=O)N1,-8.054282188415527
CCOc1ccc(C(=O)[N-]C(=S)Nc2ccc(C(=O)NCC[NH+](CC)CC)cc2)cc1Br,-7.79940128326416
CC(C)CCCC(C)NC(=O)c1c([NH-])n(CCc2ccc(F)cc2)c2nc3ccccc3nc12,-7.613006114959717
CCC(C(=O)NCCC(C)C)N(C(=O)c1snc(C(N)=O)c1N)c1ccc(F)c(Cl)c1,-6.631191730499268
CCCCCOc1ccc(C2c3c(-c4cc(Cl)ccc4O)n[nH]c3C(=O)N2CCCOC)cc1OCC,-7.031876564025879
CCCCC[NH+](CC(=O)N(CC)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O)C(C)CCC,-7.305769443511963
CCCCn1c(N)c(N(CCOC)C(=O)CCNC(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)[nH]c1=O,-5.87307596206665
Nc1ccc(NCc2[nH]cc[nH+]2)c(F)c1,-8.309691429138184
CCOC(=O)C1=C(c2ccccc2)N=C(N)[N-]C1c1ccc(Oc2ccc(OC)cc2)c([N+](=O)[O-])c1,-8.351958274841309
CC(C)N(CC(=O)Nc1nc(CC(=O)NC(c2ccccc2)c2ccccc2)cs1)C(=O)C1CCCCC1,-8.284663200378418
CCOc1cc(C(=O)Nc2sc(C(=O)OC(C)C)c(C)c2C(N)=O)cc(OCC)c1OCC,-5.474976062774658
CC[NH+](CC)CCCNC(=S)N(Cc1ccc(F)cc1)Cc1cc2ccc(C)cc2[nH]c1=O,-8.775254249572754
CCCOc1cccc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCC(C)C3)c1,-7.592402935028076
CC[NH+](CC)C(C(=O)Nc1ccc(NC(C)=O)cc1Cl)c1cccc(C(F)(F)F)c1,-7.9200758934021
C=CCOc1ccc(C2C(C(=O)c3c(C)[nH]c(C(=O)OC)c3C)=C(O)C(=O)N2CC[NH+](CC)CC)cc1,-4.989477157592773
O=C(/[NH+]=C(/NCCc1c[nH]c2ccccc12)Nc1ccc(Br)cc1)c1ccc(Cl)cc1,-8.543123245239258
N#Cc1cc2cc3c(cc2nc1NCCNC(=S)NCCCN1CCOCC1)OCO3,-7.883392810821533
CCC(CC)[NH+](C)C1(CN)CC(C)(C)OC1(C)C,-2.8157055377960205
C[NH2+]C(CSc1ccc(Br)cc1)c1cc(C)cnc1N,-7.669450283050537
CCOC(=O)c1c(NC(=O)C[NH+]2CCCCC2CC(N)=O)sc2c1CCC(C)C2,-6.324289321899414
N#C/N=C(\Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)Nc1cccc(I)c1,-8.523185729980469
Cc1ccc(C(C(=O)NC(C)(C)C)N(CC[NH+]2CCOCC2)C(=O)c2snc(C(N)=O)c2N)cc1,-7.17957878112793
COCCn1ncc(Br)c1C(CSCC(C)C)NN,-4.984991550445557
CCCCOc1ccccc1Cn1c(SC2OC(CO)C(O)C(O)C2O)nc2ccccc21,-6.71400785446167
CCc1cccc(C)c1Nc1nnc(SCC(=O)N(CCC(N)=O)Cc2ccccc2)s1,-8.262079238891602
CCCCCCCCCCCCCCCCCCOC(=O)C(CCC(N)=O)NC(=O)C(C)[NH3+],-6.931180953979492
CCCCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C(/C)c3ccncc3)n2)s1,-8.729170799255371
NC(=O)c1c(NC(=O)CN(Cc2ccccc2)Cc2ccccc2)sc2c1CCC2,-7.756958484649658
NC(Cc1cccs1)C(=O)NCc1ccc(Nc2cc(C(F)(F)F)ccc2Nc2ccccc2C(=O)[O-])c(C(=O)[O-])c1,-9.197004318237305
CCCC(C(=O)NCCC(C)C)N(C(=O)c1snc(C(N)=O)c1N)c1ccc(C)cc1C,-6.340406894683838
O=C(CCCCCCCC(=O)NCCC[NH+]1CCOCC1)NCCC[NH+]1CCOCC1,-8.609270095825195
CN(C(=O)CNC(=O)C([NH3+])CCCC[NH3+])c1ccc(Cl)cc1C(=O)c1ccccc1,-8.269749641418457
[NH3+]NC(c1ccccc1C(F)(F)F)C1Cc2ccccc21,-7.264141082763672
Cc1ccc(NS(=O)(=O)c2cc([N+](=O)[O-])ccc2NNC(=S)NCc2ccccc2)c(C)c1,-8.519298553466797
