seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.8388999426312074,0.666391521150427,0.6287129
0,ECFP4,random,va,0.9922622592425331,0.44323256579053893,0.78780353
0,ECFP4,random,te,1.0210387094690048,0.3937999372145169,0.76615655
0,ECFP4,random,tr,0.8388999426312074,0.666391521150427,0.6287129
0,ECFP4,random,va,0.9922622592425331,0.44323256579053893,0.78780353
0,ECFP4,random,te,1.0210387094690048,0.3937999372145169,0.76615655
1,ECFP4,random,tr,4.2302135556109,-7.319479625712118,4.0597863
1,ECFP4,random,va,4.481072781728331,-12.066278311511894,4.2725396
1,ECFP4,random,te,4.271767689292593,-9.795544645586926,4.0852613
2,ECFP4,random,tr,1.1267261507952158,0.37831994729551577,0.86493206
2,ECFP4,random,va,1.2590576074826605,-0.05383911037064304,1.0016268
2,ECFP4,random,te,1.7456562765770238,-0.1620192017388531,1.4247625
3,ECFP4,random,tr,1.1106715617726481,0.4044651267014995,0.8121374
3,ECFP4,random,va,1.5806407704741245,-0.4191031747403897,1.2751534
3,ECFP4,random,te,1.6148403660443953,-0.2325809564722181,1.2543399
4,ECFP4,random,tr,1.1892485043265892,0.30002252092167836,0.95728487
4,ECFP4,random,va,2.016777950820933,-0.7089375571239478,1.5568838
4,ECFP4,random,te,1.6123427647069062,-0.4266815173948948,1.2624604
5,ECFP4,random,tr,1.345280684782774,0.13661811148020686,1.1191641
5,ECFP4,random,va,1.810230412649479,-0.49899875380901326,1.4220008
5,ECFP4,random,te,1.8245945937436499,-1.1926584236017441,1.4748979
6,ECFP4,random,tr,1.5571732321860086,-0.1985621777698683,1.3209955
6,ECFP4,random,va,1.8613991498655627,-0.7084246557671314,1.505802
6,ECFP4,random,te,2.0666765638340054,-0.9233317383277104,1.580559
7,ECFP4,random,tr,0.9581627521181677,0.5413755006374353,0.7127826
7,ECFP4,random,va,1.682039680938215,-0.35909634308063754,1.4147153
7,ECFP4,random,te,1.9443030131841659,-0.7755208271991723,1.5809993
8,ECFP4,random,tr,1.2626755809496122,0.19333713966195332,1.0145102
8,ECFP4,random,va,1.8770566469159105,-0.49675743239316517,1.4554964
8,ECFP4,random,te,1.652452541945259,-0.23354383128518985,1.3627164
9,ECFP4,random,tr,1.1967540849209939,0.31561268005874077,0.9181029
9,ECFP4,random,va,1.4247723079607704,-0.391974147787987,1.0777721
9,ECFP4,random,te,1.679720075424491,-0.25619934552142687,1.2436489
