rmse,mae,r2,type,split,model,seed
0.9935827582360662,0.75017315,0.47545685132451243,tr,random,gat,0
0.9897246243181277,0.69930464,0.26444114458643864,va,random,gat,0
1.2137551290480322,0.88319397,0.20593584508874563,te,random,gat,0
1.9205529232385352,1.549718,-0.9598631640055781,tr,random,gat,1
1.7119377382668297,1.3209143,-1.2007190490785473,va,random,gat,1
1.967078149981687,1.562123,-1.0856270833785082,te,random,gat,1
1.0514729998791184,0.79638505,0.41255205728749356,tr,random,gat,2
1.0443796622756087,0.7652822,0.18095937706935505,va,random,gat,2
1.25872755233311,0.8843079,0.14600189537872432,te,random,gat,2
2.769272118243415,2.0474308,-3.074782725681792,tr,random,gat,3
2.3302124700962863,1.9888254,-3.077366185374653,va,random,gat,3
2.440374000527618,1.8828356,-2.210008651401589,te,random,gat,3
1.1709504104036912,0.8987434,0.27146544848745224,tr,random,gat,4
1.0187017932555893,0.7971856,0.22073922269533663,va,random,gat,4
1.391311604591679,1.0225639,-0.043379325089296206,te,random,gat,4
1.1679433864531517,0.90142053,0.27520246739020526,tr,random,gat,5
1.0469594892882406,0.79030997,0.17690792883245576,va,random,gat,5
1.3172274781446758,0.96568567,0.06477743857016482,te,random,gat,5
1.2461059474049139,0.931888,0.1749445610648136,tr,random,gat,6
1.0449550159938679,0.7832847,0.1800565776865618,va,random,gat,6
1.3643684751919904,0.96774614,-0.0033599036321789733,te,random,gat,6
1.111517167731422,0.84020966,0.3435442124718322,tr,random,gat,7
0.9816633750868978,0.7296201,0.27637447404799687,va,random,gat,7
1.3604802866961696,0.9567798,0.0023506304515582555,te,random,gat,7
1.118128826802221,0.8484876,0.33571128129271377,tr,random,gat,8
0.9968138541479645,0.7447619,0.2538660088034098,va,random,gat,8
1.2696709658696088,0.9084863,0.1310879979062508,te,random,gat,8
1.1889542659469148,0.9216756,0.24889016232716865,tr,random,gat,9
1.1284498196195856,0.85587144,0.04379025599988873,va,random,gat,9
1.305125956613632,0.97583896,0.08188250074399284,te,random,gat,9
