Smiles,gatscore
CC(C)n1c(C[NH+]2CCCC2)nc2cc(NC(=O)COc3ccccc3Cl)ccc21,-8.141061782836914
CC(C)n1nnc2cc(C(=O)NC3CCCCCC3)ccc21,-6.661627292633057
Cn1c(CCc2ccc(NC(=O)c3cc(-c4cccs4)n[nH]3)cc2)nc2ccccc21,-9.084798812866211
Cc1noc(C)c1CC(=O)N1CCC2(CC1)C[C@H](C(=O)NC1CCCC1)N(C)C2=O,-7.705195903778076
CC(C)OCCCNC(=O)c1cc(-c2ccccc2)c(N2CCCCCC2)s1,-7.548333168029785
O=C(NC[C@H](c1ccccc1Cl)[NH+]1CCCC1)c1cc(=O)c2ccc(Br)cc2o1,-8.215920448303223
CC(C)CC(=O)N1CC[C@H](CO)[C@H](NC(=O)c2ccccc2)C1,-7.087131977081299
COCCNC(=O)c1cc2c([nH]c1=O)CC(C)(C)CC2=O,-6.527464866638184
CCN1C(=O)[C@@H]2CC3(CCN(C(=O)c4cc5cc(OC)ccc5[nH]4)CC3)CN2C1=O,-8.01974105834961
CCC[C@@H](C)NC(=O)Cc1ccc(Cl)cc1F,-7.133641719818115
CC(=O)C1=C([O-])C(=O)N(c2ccc(OCC(=O)[O-])cc2)[C@@H]1c1ccc(Cl)cc1Cl,-7.503466606140137
CNC(=O)[C@@H]1CN(C(=O)c2cccc(Cl)c2)CC12CCCC2,-7.487082004547119
Cc1ccn2cc(-c3ccc(C)c(NC(=O)CCC(=O)[O-])c3)[nH+]c2c1,-7.398377418518066
COc1ccc2cc(C(=O)N3CCC4(CC3)C[C@@H](CCOc3ccc(F)cc3)CCO4)[nH]c2c1,-9.190694808959961
CC(C)CN1C[C@H](CNC(=O)CCc2nc3cc(Cl)ccc3[nH]2)OCC1=O,-8.657625198364258
CCCNC(=O)N1CCC(N2C(=O)C3(CCCCC3)[C@@H]2c2ccncc2)CC1,-6.564122676849365
O=C(NC1CCCCC1)[C@@H]1CC(=O)N(c2ccc(Cl)cc2)C1,-6.80880880355835
COc1ccc(C2(CNC(=O)CCC(=O)[O-])CCCC2)cc1OC,-6.961242198944092
CCN(CC)C(=O)C1=C(C)NC(=S)N[C@H]1c1ccccc1Cl,-6.925037860870361
COCCCNC(=O)C(=O)Nc1ccc(C(C)(C)C)cc1,-6.5004987716674805
O=C(NCCc1ccccn1)c1cccnc1OC1CC[NH2+]CC1,-7.402749538421631
COc1ccc(NC(=O)c2cccc(Nc3ncc(-c4cccc(C)c4)cn3)c2)cc1Cl,-9.434560775756836
O=C(NC[C@@H]1[NH2+]CCc2ccccc21)C1CCCCC1,-7.011100769042969
CCOC(=O)C1=C(c2ccccc2)OC(N)=C(C#N)[C@@H]1C1CCCCC1,-6.8603620529174805
O=C(Nc1ccccc1Cl)C1CCN(c2cnc(N3CCCCC3)nc2)CC1,-7.107349872589111
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC[C@H](O)C[NH+]1CCCCC1,-7.102860450744629
Cc1cccc(CN2CCCn3nc(C(=O)N(C)CC(=O)NCC4CC4)cc3C2=O)c1,-8.194894790649414
CC(=O)Nc1ccc2c(c1)nc(CN1CCOCC1)n2C,-6.355252265930176
CCC(CC)NC(=O)[C@@H]1COCC(=O)N1Cc1ccc(OC)cc1OC,-7.268433094024658
Cc1cc(N2CC[NH+](C)CC2)nc2ccc(NC(=O)Nc3ccc(Br)cc3)cc12,-8.754980087280273
CSc1ccc(CNC(=O)c2ccc(Nc3cc(-c4ccc(F)cc4)ncn3)cc2)cc1,-10.45382308959961
CN(C)C(=O)N(CCNC(=O)c1ccc2nc[nH]c2c1)C1CCOCC1,-7.733113765716553
O=C(NCC1CCOCC1)Nc1cc(F)cc(F)c1,-7.2044548988342285
O=C([O-])[C@H]1[C@@H]2C(=O)N(C[C@H]3CCCO3)C[C@]23C=C[C@H]1O3,-6.6932477951049805
CCN1C(=O)[C@](C)(C(=O)NC2CCCCCC2)Oc2cccnc21,-6.352543354034424
C[C@H](Oc1ccc(F)cc1)C(=O)NCC1([NH+]2CCOCC2)CCCCC1,-7.330023288726807
Cc1ccccc1NC(=O)N(C)CCc1noc(-c2ccc(C(=O)NC3CCCCC3)cc2)n1,-8.263761520385742
Cc1ccccc1C(=O)N[C@H](C(=O)N1CCCC1)C1CCN(C(=O)CC(C)C)CC1,-7.503148078918457
O=C(CC1CCCC1)N1CCC(c2nc(-c3ccncc3)n[nH]2)CC1,-7.611286640167236
C=CCNC(=O)c1ccc(-n2nc(C(=O)OCC)cc2-c2ccc(C3CCCCC3)cc2)cc1,-7.98422384262085
CC(=O)N1CC[C@@]2(CO)C[N@@H+](Cc3ccc(C)o3)C[C@H]2C1,-6.708075046539307
CCCCNC(=O)[C@@H]1CN(C(=O)C2CC2)C[C@H]1c1ccc(F)cc1,-7.41484260559082
CCCC(=O)NCCCc1nc2ccccc2n1CC(C)C,-6.678272724151611
C[C@]1(C(=O)NC2CCCCCCC2)Cn2c(cc3ccccc32)C(=O)N1CCC[NH+]1CCCCC1,-7.5732550621032715
CC(C)OCCCNC(=O)[C@H]1CC[C@@H](Cn2c([S-])nc3ccccc3c2=O)CC1,-8.132965087890625
COc1cccc(Cn2ncc3ccc(C(=O)NCC[NH+]4CCCCC4)cc32)c1,-8.053435325622559
Cc1cc2nnc(SCC(=O)NCC(C)C)n2c2c(C)cccc12,-7.009722709655762
Cc1nc2cccnc2n1CCN1CCN(C(=O)Nc2ccc(F)c(Cl)c2)CC1,-7.544736385345459
CC(C)N1C(=O)[C@@H]2[C@H](c3ccccc3O)[NH2+][C@@](C)(C(=O)[O-])[C@@H]2C1=O,-6.7005228996276855
O=C(NCc1csc(-c2ccccc2)n1)[C@H]1CSCN1C(=O)CCC1CCCC1,-8.683144569396973
CCCn1nnc2cc(C(=O)NC3CCCC3)ccc21,-6.46203088760376
COCCNC(=O)[C@@]1(F)CCCN(C(=O)Cc2c(C)noc2C)C1,-7.152710914611816
