Smiles,gcnscore
Cc1ccc(NC(=O)N2CCN(c3ccc(NC(=O)CC(C)C)cc3C(=O)N(C)Cc3ccccc3)CC2)cc1,-8.247142791748047
Cc1cccn2cc(C(=O)NCCN3CCOCC3)nc12,-6.639016151428223
Cc1ccccc1NC(=O)N1CC=C(c2cn(C(C)C)c3ncccc23)CC1,-7.189121723175049
O=C(NCC1CCN(c2cc(-c3ccncc3)n[nH]2)CC1)c1cc(F)cc(F)c1,-7.725691318511963
CC(C)Cn1c(=O)c(C(=O)NCCCc2ccccc2)nc2cccnc21,-7.3234734535217285
O=C(CN1C(=O)C2(CCCCC2)[C@H]1c1ccccc1)NC1CCCCC1,-6.6202826499938965
O=C(NCCc1csc(-c2ccccc2)n1)C1CCN(C(=O)c2ccc(F)c(F)c2)CC1,-9.016672134399414
CC(C)NC(=O)C(=O)NCCc1ccc(Cl)cc1,-8.152938842773438
N#Cc1cccc(C[N@H+]2CCC(F)(F)[C@@H](CO)C2)c1,-6.325827598571777
Cc1ccc(C)c(NC(=O)N2CCC[C@H]2c2ccccc2Cl)c1,-7.695292949676514
CCc1cc(NC(=O)c2ccc(C(C)(C)C)cc2)nn1-c1cccc(Cl)c1,-8.317943572998047
CC(C)Oc1ccc(C[N@H+]2CCC[C@@](C)(C(N)=O)C2)cc1,-8.076740264892578
CCc1onc(C)c1[C@H]1CCCN1C(=O)NCC(=O)OC,-5.53194522857666
COc1ccc(C(=O)N2CCC3(CC2)C[C@@H]3NC(=O)c2ccncc2)cc1F,-7.912166118621826
O=C(NCC[NH+]1CCCCC1)c1ccc(-c2ccc(N3CCSCC3)nc2)cc1,-8.723791122436523
O=C([O-])c1cnc(NC2CCCC2)nc1-c1ccncc1,-4.9600653648376465
O=C(CCC1CCCC1)NC[C@]12CCC=C1N(CC1CC1)C(=O)CC2,-6.861598968505859
C[C@]1(O)COC2(C[NH+](Cc3ccc(C(F)(F)F)cc3)C2)C1,-8.282356262207031
CCCC(=O)Nc1nc2ccc(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)cc2s1,-8.304834365844727
Cc1nc(N2CCC(C(=O)NCCC3=CCCCC3)CC2)cc(C(F)(F)F)n1,-7.476078987121582
OC1=C(c2ccc(C(F)(F)F)cc2)/C(=N\c2ccccc2)c2ccccc21,-7.278021335601807
COc1cc(C[N@H+]2CCC[C@H]2c2c(C)noc2C)ccc1O,-7.257863521575928
