Smiles,DNNscore
CS(=O)(=O)c1ccc(-c2ccc(NC(=O)C3CCCC3)cc2)nn1,-7.4678497314453125
CCC[C@H](C)NC(=O)c1ccc(NC(=O)CC)cc1,-6.797802925109863
C[C@@H](C(=O)NC1CCCCC1)[NH+]1CCN(c2ccccc2F)CC1,-7.160294532775879
CCCC(=O)Nc1ccc(C(=O)N2CCC(C)CC2)cc1,-6.470598220825195
Cc1cccc(N2CCN(C(=O)[C@H]3CCCN(c4nc5ccccc5[nH]4)C3)C[C@@H]2C)c1,-7.808769226074219
O=C(NCc1ccc(C[NH+]2CCCCC2)cc1)C(=O)Nc1ccc(F)cc1,-8.618319511413574
Cc1cc(NC(=O)N2CCC[C@@H]2c2ccccc2C)ccc1Br,-6.560366630554199
CC(C)C(=O)Nc1c(C(=O)NC(C)(C)C)oc2ccccc12,-6.815936088562012
O=C(CC1CCCC1)Nc1c(C(=O)N2CCOCC2)oc2ccccc12,-7.297145843505859
C[NH+]1CCN(C(=O)c2oc3ccccc3c2NC(=O)Cc2ccc(F)cc2)CC1,-9.565967559814453
O=C(NC1CCN(c2ccccc2C(=O)N2CC[NH+](C3CCCCCC3)CC2)CC1)c1cc(F)cc(F)c1,-6.51921272277832
O=C(N[C@H]1CCCc2ccccc21)[C@H](C1CCCC1)[NH+]1CCN(C(=O)CCc2ccccc2)CC1,-8.876009941101074
O=C(CCC[C@@H]1[C@H]2CCC[N@H+]3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)NCc1cc[nH+]cc1,-8.210305213928223
O=C(CCC[C@@H]1[C@H]2CCC[N@H+]3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)NCCc1nc2ccccc2[nH]1,-9.892148971557617
O=C(NCCCc1nc2ccccc2n1CCC1CCCCC1)C1CCCCC1,-7.214450836181641
Cc1ccc(NC(=O)NC2CCN(c3ccccc3C(=O)N3CC[NH+](C4CCCCCC4)CC3)CC2)cc1,-5.857210159301758
COc1ccc([C@H](CC[NH2+]Cc2ccccc2)[C@H]2CCOC(C)(C)C2)cc1,-9.054816246032715
O=C(CCS(=O)(=O)Cc1ccccc1)NC1CCCCC1,-7.283581733703613
Cn1c(=O)cc(SCC(=O)NCCC2=CCCCC2)c2ccc(Cl)cc21,-7.863292694091797
Cc1ccc(CNC(=O)CCSCc2ccccc2C)cc1,-8.28368854522705
CC(=O)c1ccc(NC(=O)c2cnc(N3CCCC3)nc2C)cc1,-6.283080101013184
Cc1ccc(C(=O)Nc2ccc(CC(=O)[O-])cc2)o1,-6.389123916625977
CCC[NH+](CCC)[C@@H]1Sc2ccc(C(=O)OC)cc2NC1=O,-7.157686233520508
CCCn1c(=S)[nH]c2cc(C(=O)N3CC[NH+](C4CCCCC4)CC3)ccc2c1=O,-6.169186592102051
O=C(NC[C@H]1CCCO1)[C@H]1CC(=O)N(C2CCCC2)C1,-8.783099174499512
Cc1nc(NC[C@@H]2CCCO2)nc2c1C(=O)CC(C)(C)C2,-7.410906791687012
O=C(CCC1CCCCC1)Nc1nnc(C(F)(F)F)s1,-7.088971138000488
